Entry,Entry name,Protein names,Gene names,Organism,Length,Mass,Tissue specificity,Cofactor,Function [CC],Subcellular location [CC],Pathway
P24903,CP2F1_HUMAN,Cytochrome P450 2F1 (EC 1.14.14.1) (CYPIIF1),CYP2F1,Homo sapiens (Human),491,"55,501","TISSUE SPECIFICITY: Expressed in lung. Rarely detected in liver and placenta. {ECO:0000269|PubMed:1974816, ECO:0000269|PubMed:8619884}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; ,"FUNCTION: May be involved in the metabolism of various pneumotoxicants including naphthalene. Is able to dealkylate ethoxycoumarin, propoxycoumarin, and pentoxyresorufin but possesses no activity toward ethoxyresorufin and only trace dearylation activity toward benzyloxyresorufin. Bioactivates 3-methylindole (3MI) by dehydrogenation to the putative electrophile 3-methylene-indolenine. {ECO:0000269|PubMed:1974816}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:10383923}; Peripheral membrane protein {ECO:0000305|PubMed:10383923}. Microsome membrane {ECO:0000269|PubMed:10383923}; Peripheral membrane protein {ECO:0000269|PubMed:10383923}.,
P20813,CP2B6_HUMAN,"Cytochrome P450 2B6 (EC 1.14.13.-) (1,4-cineole 2-exo-monooxygenase) (CYPIIB6) (Cytochrome P450 IIB1)",CYP2B6,Homo sapiens (Human),491,"56,278","TISSUE SPECIFICITY: Expressed in liver, lung and heart right ventricle. {ECO:0000269|PubMed:10768437}.","COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:20061448, ECO:0000269|PubMed:21875942, ECO:0000269|PubMed:22909231}; ","FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of endocannabinoids and steroids (PubMed:21289075, PubMed:12865317). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase). Catalyzes the epoxidation of double bonds of arachidonoylethanolamide (anandamide) to 8,9-, 11,12-, and 14,15-epoxyeicosatrienoic acid ethanolamides (EpETrE-EAs), potentially modulating endocannabinoid system signaling (PubMed:21289075). Hydroxylates steroid hormones, including testosterone at C-16 and estrogens at C-2 (PubMed:21289075, PubMed:12865317). Plays a role in the oxidative metabolism of xenobiotics, including plant lipids and drugs (PubMed:11695850, PubMed:22909231). Acts as a 1,4-cineole 2-exo-monooxygenase (PubMed:11695850). {ECO:0000269|PubMed:11695850, ECO:0000269|PubMed:12865317, ECO:0000269|PubMed:21289075, ECO:0000269|PubMed:22909231}.; FUNCTION: Allele 2B6*9: Has low affinity for anandamide and can only produce 11,12 EpETrE-EAs. {ECO:0000269|PubMed:21289075}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.,
P51589,CP2J2_HUMAN,Cytochrome P450 2J2 (EC 1.14.14.-) (Albendazole monooxygenase (hydroxylating)) (EC 1.14.14.74) (Albendazole monooxygenase (sulfoxide-forming)) (EC 1.14.14.73) (Arachidonic acid epoxygenase) (CYPIIJ2) (Hydroperoxy icosatetraenoate isomerase) (EC 5.4.4.7),CYP2J2,Homo sapiens (Human),502,"57,611","TISSUE SPECIFICITY: Highly expressed in heart, present at lower levels in liver, kidney and skeletal muscle (at protein level). {ECO:0000269|PubMed:8631948}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of polyunsaturated fatty acids (PUFA) in the cardiovascular system (PubMed:8631948, PubMed:19965576). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:8631948, PubMed:19965576). Catalyzes the epoxidation of double bonds of PUFA (PubMed:8631948, PubMed:19965576). Converts arachidonic acid to four regioisomeric epoxyeicosatrienoic acids (EpETrE), likely playing a major role in the epoxidation of endogenous cardiac arachidonic acid pools (PubMed:8631948). In endothelial cells, participates in eicosanoids metabolism by converting hydroperoxide species into hydroxy epoxy metabolites. In combination with 15-lipoxygenase metabolizes arachidonic acid and converts hydroperoxyicosatetraenoates (HpETEs) into hydroxy epoxy eicosatrienoates (HEETs), which are precursors of vasodilatory trihydroxyicosatrienoic acids (THETAs). This hydroperoxide isomerase activity is NADPH- and O2-independent (PubMed:19737933). Catalyzes the monooxygenation of a various xenobiotics, such as danazol, amiodarone, terfenadine, astemizole, thioridazine, tamoxifen, cyclosporin A and nabumetone (PubMed:19923256). Catalyzes hydroxylation of the anthelmintics albendazole and fenbendazole (PubMed:23959307). Catalyzes the sulfoxidation of fenbedazole (PubMed:19923256). {ECO:0000269|PubMed:19737933, ECO:0000269|PubMed:19923256, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:23959307, ECO:0000269|PubMed:8631948}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane {ECO:0000269|PubMed:8631948}; Peripheral membrane protein.,"PATHWAY: Lipid metabolism; arachidonate metabolism. {ECO:0000269|PubMed:19737933, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:8631948}."
P98187,CP4F8_HUMAN,Cytochrome P450 4F8 (EC 1.14.14.1) (CYPIVF8),CYP4F8,Homo sapiens (Human),520,"59,995","TISSUE SPECIFICITY: Expressed in the epithelium of seminal vesicles, in renal cortex, in adult and fetal liver, in epidermis, in corneal epithelium, in sweat glands, hair follicles, epithelial linings of the ampulla of vas deferens and of the stomach and small intestine, as well as in the transitional epithelium of the bladder and ureter (at protein level). In the epidermis, expressed from the basal cell to the granular cell layers. In the corneal epithelium, expressed in all cell layers. Also detected in prostate. Up-regulated in the epidermis of psoriatic lesions. {ECO:0000269|PubMed:10405341, ECO:0000269|PubMed:12464258, ECO:0000269|PubMed:15789615}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:Q02928}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of endogenous polyunsaturated fatty acids (PUFAs) and their oxygenated derivatives (oxylipins). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase). Catalyzes the hydroxylation of carbon hydrogen bonds, with preference for omega-1 and omega-2 positions (PubMed:10791960, PubMed:16112640, PubMed:15789615). Hydroxylates (5Z,8Z,11Z,14Z)-eicosatetraenoic acid (arachidonate) predominantly at omega-2 position to form (18R)-hydroxyeicosatetraenoic acid (18R-HETE) (PubMed:10791960). Exhibits omega-1 hydroxylase activity toward prostaglandin (PG) H1, PGH2 and PGI2 (PubMed:10791960, PubMed:15789615). Catalyzes the epoxidation of double bonds of PUFAs, including docosahexaenoic and docosapentaenoic acids (PubMed:16112640). Shows little activity against PGD2, PGE1, PGE2, PGF2alpha, and leukotriene B4. {ECO:0000269|PubMed:10791960, ECO:0000269|PubMed:15789615, ECO:0000269|PubMed:16112640}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9HBI6}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9HBI6}. Microsome membrane {ECO:0000250|UniProtKB:Q9HBI6}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9HBI6}.,PATHWAY: Lipid metabolism; fatty acid metabolism. {ECO:0000269|PubMed:10791960}.
P05177,CP1A2_HUMAN,Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Cytochrome P(3)450) (Cytochrome P450 4) (Cytochrome P450-P3) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),CYP1A2,Homo sapiens (Human),516,"58,407",TISSUE SPECIFICITY: Liver.,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, steroid hormones and vitamins (PubMed:9435160, PubMed:10681376, PubMed:11555828, PubMed:12865317, PubMed:19965576). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:9435160, PubMed:10681376, PubMed:11555828, PubMed:12865317, PubMed:19965576). Catalyzes the hydroxylation of carbon-hydrogen bonds (PubMed:11555828, PubMed:12865317). Exhibits high catalytic activity for the formation of hydroxyestrogens from estrone (E1) and 17beta-estradiol (E2), namely 2-hydroxy E1 and E2 (PubMed:11555828, PubMed:12865317). Metabolizes cholesterol toward 25-hydroxycholesterol, a physiological regulator of cellular cholesterol homeostasis (PubMed:21576599). May act as a major enzyme for all-trans retinoic acid biosynthesis in the liver. Catalyzes two successive oxidative transformation of all-trans retinol to all-trans retinal and then to the active form all-trans retinoic acid (PubMed:10681376). Primarily catalyzes stereoselective epoxidation of the last double bond of polyunsaturated fatty acids (PUFA), displaying a strong preference for the (R,S) stereoisomer (PubMed:19965576). Catalyzes bisallylic hydroxylation and omega-1 hydroxylation of PUFA (PubMed:9435160). May also participate in eicosanoids metabolism by converting hydroperoxide species into oxo metabolites (lipoxygenase-like reaction, NADPH-independent) (PubMed:21068195). Plays a role in the oxidative metabolism of xenobiotics. Catalyzes the N-hydroxylation of heterocyclic amines and the O-deethylation of phenacetin (PubMed:14725854). Metabolizes caffeine via N3-demethylation (Probable). {ECO:0000269|PubMed:10681376, ECO:0000269|PubMed:11555828, ECO:0000269|PubMed:12865317, ECO:0000269|PubMed:14725854, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:21068195, ECO:0000269|PubMed:21576599, ECO:0000269|PubMed:9435160, ECO:0000305|PubMed:16522833}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane {ECO:0000269|PubMed:21576599}; Peripheral membrane protein.,"PATHWAY: Cofactor metabolism; retinol metabolism. {ECO:0000269|PubMed:10681376}.; PATHWAY: Steroid metabolism; cholesterol metabolism. {ECO:0000269|PubMed:21576599}.; PATHWAY: Lipid metabolism; arachidonate metabolism. {ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:21068195, ECO:0000269|PubMed:9435160}."
P24462,CP3A7_HUMAN,Cytochrome P450 3A7 (EC 1.14.14.1) (CYPIIIA7) (Cytochrome P450-HFLA) (P450HLp2),CYP3A7,Homo sapiens (Human),503,"57,470",TISSUE SPECIFICITY: Expressed in fetal liver (at protein level). {ECO:0000269|PubMed:2492179}.,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of steroid hormones and vitamins during embryogenesis (PubMed:9555064, PubMed:11093772, PubMed:14559847, PubMed:12865317, PubMed:17178770). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:9555064, PubMed:11093772, PubMed:14559847, PubMed:12865317, PubMed:17178770). Catalyzes the hydroxylation of carbon-hydrogen bonds. Metabolizes 3beta-hydroxyandrost-5-en-17-one (dehydroepiandrosterone, DHEA), a precursor in the biosynthesis of androgen and estrogen steroid hormones (PubMed:9555064, PubMed:17178770). Exhibits high catalytic activity for the formation of hydroxyestrogens from estrone (E1), particularly D-ring hydroxylated estrone at the C16-alpha position (PubMed:14559847, PubMed:12865317). Mainly hydroxylates all trans-retinoic acid (atRA) to 4-hydroxyretinoate and may play a role in atRA clearance during fetal development (PubMed:11093772). Also involved in the oxidative metabolism of xenobiotics including anticonvulsants (PubMed:9555064). {ECO:0000269|PubMed:11093772, ECO:0000269|PubMed:12865317, ECO:0000269|PubMed:14559847, ECO:0000269|PubMed:17178770, ECO:0000269|PubMed:9555064}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane {ECO:0000305|PubMed:2492179}; Peripheral membrane protein.,"PATHWAY: Steroid hormone biosynthesis. {ECO:0000269|PubMed:12865317, ECO:0000269|PubMed:14559847, ECO:0000269|PubMed:17178770}.; PATHWAY: Cofactor metabolism; retinol metabolism. {ECO:0000269|PubMed:11093772}."
P33260,CP2CI_HUMAN,Cytochrome P450 2C18 (EC 1.14.14.1) (CYPIIC18) (Cytochrome P450-6b/29c),CYP2C18,Homo sapiens (Human),490,"55,711",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in retinoid metabolism. Hydroxylates all trans-retinoic acid (atRA) to 4-hydroxyretinoate and may modulate atRA signaling and clearance. Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase). {ECO:0000269|PubMed:11093772}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11093772}; Peripheral membrane protein. Microsome membrane {ECO:0000269|PubMed:11093772}; Peripheral membrane protein.,PATHWAY: Cofactor metabolism; retinol metabolism. {ECO:0000269|PubMed:11093772}.
P04798,CP1A1_HUMAN,Cytochrome P450 1A1 (CYPIA1) (EC 1.14.14.1) (Cytochrome P450 form 6) (Cytochrome P450-C) (Cytochrome P450-P1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),CYP1A1,Homo sapiens (Human),512,"58,165","TISSUE SPECIFICITY: Lung, lymphocytes and placenta.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:23508959}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, steroid hormones and vitamins (PubMed:11555828, PubMed:14559847, PubMed:12865317, PubMed:15805301, PubMed:15041462, PubMed:18577768, PubMed:19965576, PubMed:20972997, PubMed:10681376). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:11555828, PubMed:14559847, PubMed:12865317, PubMed:15805301, PubMed:15041462, PubMed:18577768, PubMed:19965576, PubMed:20972997, PubMed:10681376). Catalyzes the hydroxylation of carbon-hydrogen bonds. Exhibits high catalytic activity for the formation of hydroxyestrogens from estrone (E1) and 17beta-estradiol (E2), namely 2-hydroxy E1 and E2, as well as D-ring hydroxylated E1 and E2 at the C15-alpha and C16-alpha positions (PubMed:11555828, PubMed:14559847, PubMed:12865317, PubMed:15805301). Displays different regioselectivities for polyunsaturated fatty acids (PUFA) hydroxylation (PubMed:15041462, PubMed:18577768). Catalyzes the epoxidation of double bonds of certain PUFA (PubMed:15041462, PubMed:19965576, PubMed:20972997). Converts arachidonic acid toward epoxyeicosatrienoic acid (EET) regioisomers, 8,9-, 11,12-, and 14,15-EET, that function as lipid mediators in the vascular system (PubMed:20972997). Displays an absolute stereoselectivity in the epoxidation of eicosapentaenoic acid (EPA) producing the 17(R),18(S) enantiomer (PubMed:15041462). May play an important role in all-trans retinoic acid biosynthesis in extrahepatic tissues. Catalyzes two successive oxidative transformation of all-trans retinol to all-trans retinal and then to the active form all-trans retinoic acid (PubMed:10681376). May also participate in eicosanoids metabolism by converting hydroperoxide species into oxo metabolites (lipoxygenase-like reaction, NADPH-independent) (PubMed:21068195). {ECO:0000269|PubMed:10681376, ECO:0000269|PubMed:11555828, ECO:0000269|PubMed:12865317, ECO:0000269|PubMed:14559847, ECO:0000269|PubMed:15041462, ECO:0000269|PubMed:15805301, ECO:0000269|PubMed:18577768, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:20972997, ECO:0000269|PubMed:21068195}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P00185}; Peripheral membrane protein {ECO:0000250|UniProtKB:P00185}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:P00185}; Peripheral membrane protein {ECO:0000250|UniProtKB:P00185}. Microsome membrane {ECO:0000250|UniProtKB:P00185}; Peripheral membrane protein {ECO:0000250|UniProtKB:P00185}. Cytoplasm {ECO:0000250|UniProtKB:P00185}.,"PATHWAY: Steroid hormone biosynthesis. {ECO:0000269|PubMed:11555828, ECO:0000269|PubMed:12865317, ECO:0000269|PubMed:14559847, ECO:0000269|PubMed:15805301}.; PATHWAY: Lipid metabolism; fatty acid metabolism. {ECO:0000269|PubMed:15041462, ECO:0000269|PubMed:18577768, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:20972997, ECO:0000269|PubMed:21068195}.; PATHWAY: Cofactor metabolism; retinol metabolism. {ECO:0000269|PubMed:10681376}."
P10632,CP2C8_HUMAN,Cytochrome P450 2C8 (EC 1.14.14.1) (CYPIIC8) (Cytochrome P450 IIC2) (Cytochrome P450 MP-12) (Cytochrome P450 MP-20) (Cytochrome P450 form 1) (S-mephenytoin 4-hydroxylase),CYP2C8,Homo sapiens (Human),490,"55,825",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, steroid hormones and vitamins (PubMed:7574697, PubMed:11093772, PubMed:14559847, PubMed:15766564, PubMed:19965576). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:7574697, PubMed:11093772, PubMed:14559847, PubMed:15766564, PubMed:19965576). Primarily catalyzes the epoxidation of double bonds of polyunsaturated fatty acids (PUFA) with a preference for the last double bond (PubMed:7574697, PubMed:15766564, PubMed:19965576). Catalyzes the hydroxylation of carbon-hydrogen bonds. Metabolizes all trans-retinoic acid toward its 4-hydroxylated form (PubMed:11093772). Displays 16-alpha hydroxylase activity toward estrogen steroid hormones, 17beta-estradiol (E2) and estrone (E1) (PubMed:14559847). Plays a role in the oxidative metabolism of xenobiotics. It is the principal enzyme responsible for the metabolism of the anti-cancer drug paclitaxel (taxol) (PubMed:26427316). {ECO:0000269|PubMed:11093772, ECO:0000269|PubMed:14559847, ECO:0000269|PubMed:15766564, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:26427316, ECO:0000269|PubMed:7574697}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.,"PATHWAY: Steroid metabolism. {ECO:0000269|PubMed:14559847}.; PATHWAY: Lipid metabolism; arachidonate metabolism. {ECO:0000269|PubMed:15766564, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:7574697}.; PATHWAY: Cofactor metabolism; retinol metabolism. {ECO:0000269|PubMed:11093772}."
P33261,CP2CJ_HUMAN,Cytochrome P450 2C19 (EC 1.14.14.1) ((R)-limonene 6-monooxygenase) (EC 1.14.14.53) ((S)-limonene 6-monooxygenase) (EC 1.14.14.51) ((S)-limonene 7-monooxygenase) (EC 1.14.14.52) (CYPIIC17) (CYPIIC19) (Cytochrome P450-11A) (Cytochrome P450-254C) (Fenbendazole monooxygenase (4'-hydroxylating)) (EC 1.14.14.75) (Mephenytoin 4-hydroxylase),CYP2C19,Homo sapiens (Human),490,"55,931",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:23118231}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of polyunsaturated fatty acids (PUFA) (PubMed:18577768, PubMed:19965576, PubMed:20972997). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:18577768, PubMed:19965576, PubMed:20972997). Catalyzes the hydroxylation of carbon-hydrogen bonds. Hydroxylates PUFA specifically at the omega-1 position (PubMed:18577768). Catalyzes the epoxidation of double bonds of PUFA (PubMed:20972997, PubMed:19965576). Also metabolizes plant monoterpenes such as limonene. Oxygenates (R)- and (S)-limonene to produce carveol and perillyl alcohol (PubMed:11950794). Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and imipramine. Hydroxylates fenbendazole at the 4' position (PubMed:23959307). {ECO:0000269|PubMed:11950794, ECO:0000269|PubMed:18577768, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:20972997, ECO:0000269|PubMed:23959307}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.,"PATHWAY: Lipid metabolism; fatty acid metabolism. {ECO:0000269|PubMed:18577768, ECO:0000269|PubMed:19965576, ECO:0000269|PubMed:20972997}.; PATHWAY: Terpene metabolism; (4R)-limonene degradation. {ECO:0000269|PubMed:11950794}."
Q4G0S4,C27C1_HUMAN,"Cytochrome P450 27C1 (EC 1.14.19.53) (All-trans retinol 3,4-desaturase)",CYP27C1,Homo sapiens (Human),542,"60,920","TISSUE SPECIFICITY: Widely expressed, with highest levels in the liver, kidney and pancreas. {ECO:0000269|PubMed:16360114}.; TISSUE SPECIFICITY: [Isoform 2]: Expressed in the skin (at protein level). {ECO:0000269|PubMed:28701464}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:P19099}; ,"FUNCTION: [Isoform 2]: A cytochrome P450 monooxygenase that catalyzes the 3,4 desaturation of all-trans-retinol (also called vitamin A1) to all-trans-3,4-didehydroretinol (also called vitamin A2) in the skin. Desaturates with lower efficiency all-trans retinal and all-trans retinoic acid. Forms minor amounts of 3-hydroxy and 4-hydroxy all-trans-retinol derivatives. Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate and reducing the second into a water molecule. Two electrons are provided by NADPH via a two-protein mitochondrial transfer system comprising flavoprotein FDXR (adrenodoxin/ferredoxin reductase) and nonheme iron-sulfur protein FDX1 or FDX2 (adrenodoxin/ferredoxin). {ECO:0000269|PubMed:27059013, ECO:0000269|PubMed:28701464}.",SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion membrane {ECO:0000250|UniProtKB:P14137}; Peripheral membrane protein {ECO:0000250|UniProtKB:P14137}.,"PATHWAY: [Isoform 2]: Cofactor metabolism; retinol metabolism. {ECO:0000269|PubMed:27059013, ECO:0000269|PubMed:28701464}."
Q8TAV3,CP2W1_HUMAN,Cytochrome P450 2W1 (EC 1.14.14.-) (CYPIIW1),CYP2W1,Homo sapiens (Human),490,"53,844","TISSUE SPECIFICITY: Very low levels are detected in fetal and adult tissues. Highly expressed in several tumor samples, in particular colon and adrenal tumors. {ECO:0000269|PubMed:16426568}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:Q6VVX0}; ,"FUNCTION: A cytochrome P450 monooxygenase that may play a role in retinoid and phospholipid metabolism (PubMed:22591743, PubMed:26936974). Catalyzes the hydroxylation of saturated carbon hydrogen bonds. Hydroxylates all trans-retinoic acid (atRA) to 4-hydroxyretinoate and may regulate atRA clearance. Other retinoids such as all-trans retinol and all-trans retinal are potential endogenous substrates (PubMed:26936974). Catalyzes both epoxidation of double bonds and hydroxylation of carbon hydrogen bonds of the fatty acyl chain of 1-acylphospholipids/2-lysophospholipids. Can metabolize various lysophospholipids classes including lysophosphatidylcholines (LPCs), lysophosphatidylinositols (LPIs), lysophosphatidylserines (LPSs), lysophosphatidylglycerols (LPGs), lysophosphatidylethanolamines (LPEs) and lysophosphatidic acids (LPAs) (PubMed:22591743). Has low or no activity toward 2-acylphospholipids/1-lysophospholipids, diacylphospholipids and free fatty acids (PubMed:26936974, PubMed:22591743). May play a role in tumorigenesis by activating procarcinogens such as aflatoxin B1, polycyclic aromatic hydrocarbon dihydrodiols and aromatic amines (PubMed:20805301, PubMed:16551781, PubMed:24278521). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:22591743, PubMed:26936974). {ECO:0000269|PubMed:16551781, ECO:0000269|PubMed:20805301, ECO:0000269|PubMed:22591743, ECO:0000269|PubMed:24278521, ECO:0000269|PubMed:26936974}.",SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:20805301}. Cell membrane {ECO:0000269|PubMed:20805301}. Microsome membrane {ECO:0000269|PubMed:20805301}. Note=About 8% are expressed on the cell surface. {ECO:0000269|PubMed:20805301}.,
Q96SQ9,CP2S1_HUMAN,Cytochrome P450 2S1 (EC 1.14.14.-) (CYPIIS1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Thromboxane-A synthase) (EC 5.3.99.5),CYP2S1 UNQ891/PRO1906,Homo sapiens (Human),504,"55,817","TISSUE SPECIFICITY: Expressed at higher levels in extrahepatic tissues including trachea, lung, stomach, small intestine, colon, kidney, breast, placenta and spleen (PubMed:11181079, PubMed:12711469). Expressed in peripheral blood leukocytes (PubMed:11181079). Constitutively expressed in skin (at protein level) (PubMed:12711469). {ECO:0000269|PubMed:11181079, ECO:0000269|PubMed:12711469}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of retinoids and eicosanoids (PubMed:12711469, PubMed:21068195). In epidermis, may contribute to the oxidative metabolism of all-trans-retinoic acid. For this activity, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase) (PubMed:12711469). Additionally, displays peroxidase and isomerase activities toward various oxygenated eicosanoids such as prostaglandin H2 (PGH2) and hydroperoxyeicosatetraenoates (HPETEs) (PubMed:21068195). Independently of cytochrome P450 reductase, NADPH, and O2, catalyzes the breakdown of PGH2 to hydroxyheptadecatrienoic acid (HHT) and malondialdehyde (MDA), which is known to act as a mediator of DNA damage (PubMed:21068195). {ECO:0000269|PubMed:12711469, ECO:0000269|PubMed:21068195}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11181079}; Peripheral membrane protein {ECO:0000269|PubMed:11181079}. Microsome membrane {ECO:0000269|PubMed:11181079}; Peripheral membrane protein {ECO:0000269|PubMed:11181079}.,PATHWAY: Lipid metabolism; fatty acid metabolism. {ECO:0000269|PubMed:21068195}.
Q16696,CP2AD_HUMAN,Cytochrome P450 2A13 (EC 1.14.14.1) (CYPIIA13),CYP2A13,Homo sapiens (Human),494,"56,688","TISSUE SPECIFICITY: Expressed in liver and a number of extrahepatic tissues, including nasal mucosa, lung, trachea, brain, mammary gland, prostate, testis, and uterus, but not in heart, kidney, bone marrow, colon, small intestine, spleen, stomach, thymus, or skeletal muscle. {ECO:0000269|PubMed:11016631}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; ,"FUNCTION: Exhibits a coumarin 7-hydroxylase activity. Active in the metabolic activation of hexamethylphosphoramide, N,N-dimethylaniline, 2'-methoxyacetophenone, N-nitrosomethylphenylamine, and the tobacco-specific carcinogen, 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone. Possesses phenacetin O-deethylation activity. {ECO:0000269|PubMed:18779312}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.,
